2021-01-01
全国	0	0	0	0	0	0	0	0	0	0
吉林	0	0	0	0	0	0	0	0	0	0
辽宁	0	0	0	0	0	0	0	0	0	0
河北	0	0	0	0	0	0	0	0	0	0
陕西	0	0	0	0	0	0	0	0	0	0
山西	0	0	0	0	0	0	0	0	0	0
江苏	0	0	0	0	0	0	0	0	0	0
浙江	0	0	0	0	0	0	0	0	0	0
安徽	0	0	0	0	0	0	0	0	0	0
福建	0	0	0	0	0	0	0	0	0	0
江西	0	0	0	0	0	0	0	0	0	0
山东	0	0	0	0	0	0	0	0	0	0
河南	0	0	0	0	0	0	0	0	0	0
湖北	0	0	0	0	0	0	0	0	0	0
湖南	0	0	0	0	0	0	0	0	0	0
广东	0	0	0	0	0	0	0	0	0	0
海南	0	0	0	0	0	0	0	0	0	0
四川	0	0	0	0	0	0	0	0	0	0
贵州	0	0	0	0	0	0	0	0	0	0
云南	0	0	0	0	0	0	0	0	0	0
陕西	0	0	0	0	0	0	0	0	0	0
甘肃	0	0	0	0	0	0	0	0	0	0
青海	0	0	0	0	0	0	0	0	0	0
北京	0	0	0	0	0	0	0	0	0	0
天津	0	0	0	0	0	0	0	0	0	0
上海	0	0	0	0	0	0	0	0	0	0
重庆	0	0	0	0	0	0	0	0	0	0
广西	0	0	0	0	0	0	0	0	0	0
西藏	0	0	0	0	0	0	0	0	0	0
宁夏	0	0	0	0	0	0	0	0	0	0
新疆	0	0	0	0	0	0	0	0	0	0
香港	0	0	0	0	0	0	0	0	0	0
澳门	0	0	0	0	0	0	0	0	0	0
台湾	0	0	0	0	0	0	0	0	0	0
黑龙江	0	0	0	0	0	0	0	0	0	0
内蒙古	0	0	0	0	0	0	0	0	0	0
